Question,Answer
What percent went to an amusement park?,19
What percent went to another prefecture?,81
What percent went to another country?,3
What percent saw a movie?,55
What percent went to a festival?,85
What percent ate shaved ice?,66
What percent ate watermelon?,60
What percent enjoyed swimming?,48
What percent enjoyed camping?,19
What percent enjoyed shopping?,80
